s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-07-06_nbk1-1cpu-2core.dat             330   0.33%     1.3%
      02: 2018-07-06_nbk1-1cpu-1core.dat             330   0.48%     2.6%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T600  STCK m                 :    161.41    123.18 :    0.763
D297  CDS R,R,m (ne)         :     16.95     16.90 :    0.997
D283  CLCL (4kb,250b)        :   2342.54   2345.01 :    1.001
D282  CLCL (4kb,100b)        :    949.20    950.99 :    1.002
D280  CLCL (100b,10b)        :    103.71    104.82 :    1.011
T225  SRDA R,60              :      6.18      6.25 :    1.011
D281  CLCL (4kb,10b)         :    106.56    107.77 :    1.011
D215  DR R,R                 :     15.50     15.68 :    1.012
D170  MVCL (10b)             :     24.73     25.03 :    1.012
D171  MVCL (100b)            :     32.12     32.51 :    1.012
T223  SRDA R,1               :      6.18      6.26 :    1.013
T152  MVC m,m (15c)          :     19.92     20.19 :    1.014
T421  AP m,m (30d)           :    231.69    234.96 :    1.014
D323  BAL R,R (far)          :     17.66     17.91 :    1.014
T242  SRL R,1                :      4.14      4.20 :    1.014
T516  DER R,R                :     22.70     23.03 :    1.015
D172  MVCL (250b)            :     42.42     43.05 :    1.015
T509  STE R,m (unal)         :      9.95     10.10 :    1.015
T209  SL R,m                 :     10.47     10.63 :    1.015
T517  DE R,m                 :     25.33     25.72 :    1.015
T539  STD R,m (unal)         :      9.71      9.86 :    1.015
T501  LE R,m                 :      9.06      9.20 :    1.015
D291  CS R,R,m (eq,ne)       :     14.72     14.95 :    1.016
T420  AP m,m (10d)           :    238.52    242.27 :    1.016
T239  OR R,R                 :      3.18      3.23 :    1.016
T190  IC R,m                 :      8.89      9.03 :    1.016
T108  LNR R,R                :      3.16      3.21 :    1.016
T540  ADR R,R                :     15.16     15.40 :    1.016
T273  CLC m,m (30c,ne)       :     32.08     32.59 :    1.016
T109  LPR R,R                :      3.77      3.83 :    1.016
D321  BALR R,R (far)         :     31.18     31.68 :    1.016
T235  XC m,m (10c)           :     24.29     24.68 :    1.016
T120  STM 2,3,m (2r)         :     11.16     11.34 :    1.016
T303  BNZ l (do br, far)     :     13.60     13.82 :    1.016
T113  STH R,m (unal1)        :      9.27      9.42 :    1.016
D415  EDMK (10c)             :    138.89    141.14 :    1.016
T114  STH R,m (unal3)        :      9.25      9.40 :    1.016
T243  SRDL R,1               :      5.55      5.64 :    1.016
T245  SLDL R,60              :      5.55      5.64 :    1.016
T403  PACK m,m (15d)         :     94.91     96.46 :    1.016
T531  LD R,m                 :      9.75      9.91 :    1.016
T222  SRA R,1                :      4.87      4.95 :    1.016
T204  AL R,m                 :     10.31     10.48 :    1.016
T275  CLC m,m (100c,ne)      :     32.09     32.62 :    1.017
T125  LM 0,11,m (12r)        :     19.95     20.28 :    1.017
T443  ZAP m,m (30d,10d)      :    105.72    107.47 :    1.017
D292  CS R,R,m (ne)          :     15.67     15.93 :    1.017
T451  MVO m,m (30d)          :    131.34    133.52 :    1.017
D325  BAS R,R                :      8.42      8.56 :    1.017
T445  SRP m,i,i (30d,<<)     :    136.85    139.13 :    1.017
T513  SE R,m                 :     19.76     20.09 :    1.017
D621  TS m (ones)            :     13.17     13.39 :    1.017
T240  SLL R,1                :      4.19      4.26 :    1.017
T266  CLM R,i,m              :     12.55     12.76 :    1.017
T503  LTER R,R               :      4.78      4.86 :    1.017
T244  SLL R,30               :      4.18      4.25 :    1.017
T520  CER R,R                :     11.31     11.50 :    1.017
T405  UNPK m,m (15d)         :    101.61    103.32 :    1.017
T404  UNPK m,m (5d)          :     42.04     42.75 :    1.017
D179  MVCL (1kb,over2)       :    110.10    111.96 :    1.017
T514  MER R,R                :     10.06     10.23 :    1.017
T270  CLC m,m (10c,eq)       :     37.84     38.48 :    1.017
T210  MR R,R                 :      4.72      4.80 :    1.017
