s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2018-07-30_ms1-herc40.dat                  326   8.18%    30.4%
      02: 2018-07-30_ms1-sim390.dat                  323   1.78%    67.4%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T257  TRT m,m (250c,zero)    :   6243.48   1002.41 :    0.161
D283  CLCL (4kb,250b)        :   7455.76   1320.56 :    0.177
T256  TRT m,m (100c,zero)    :   2524.25    593.25 :    0.235
T259  TRT m,m (250c,100b)    :   2542.34    602.73 :    0.237
D282  CLCL (4kb,100b)        :   3024.78    803.39 :    0.266
T600  STCK m                 :    493.25    213.13 :    0.432
T424  MP m,m (10d)           :   1007.54    529.34 :    0.525
D411  ED (30c)               :   1486.25    854.56 :    0.575
T425  MP m,m (30d)           :   1021.14    663.31 :    0.650
T422  SP m,m (10d)           :    777.80    572.47 :    0.736
T420  AP m,m (10d)           :    750.69    572.47 :    0.763
D426  DP m,m (10d)           :   1187.99    923.72 :    0.778
T405  UNPK m,m (15d)         :    353.97    305.40 :    0.863
D427  DP m,m (30d)           :   2706.68   2452.78 :    0.906
T430  CP m,m (10d)           :    529.07    490.32 :    0.927
D280  CLCL (100b,10b)        :    345.54    323.00 :    0.935
T403  PACK m,m (15d)         :    320.68    305.40 :    0.952
T446  SRP m,i,i (30d,>>)     :    704.78    676.29 :    0.960
T451  MVO m,m (30d)          :    438.71    428.28 :    0.976
T445  SRP m,i,i (30d,<<)     :    531.63    547.72 :    1.030
T443  ZAP m,m (30d,10d)      :    343.45    359.95 :    1.048
T440  ZAP m,m (10d,10d)      :    334.20    357.58 :    1.070
D415  EDMK (10c)             :    492.12    536.19 :    1.090
D410  ED (10c)               :    486.71    536.19 :    1.102
T442  ZAP m,m (10d,30d)      :    335.44    395.50 :    1.179
T255  TRT m,m (10c,zero)     :    282.97    347.29 :    1.227
T258  TRT m,m (250c,10b)     :    307.48    378.22 :    1.230
T423  SP m,m (30d)           :    818.77   1070.70 :    1.308
T237  XC m,m (250c)          :    969.49   1284.46 :    1.325
T421  AP m,m (30d)           :    778.69   1049.02 :    1.347
T441  ZAP m,m (30d,30d)      :    346.56    499.80 :    1.442
T156  MVC m,m (250c,over1)   :    860.97   1361.26 :    1.581
T236  XC m,m (100c)          :    416.54    694.52 :    1.667
D281  CLCL (4kb,10b)         :    357.82    608.71 :    1.701
T431  CP m,m (30d)           :    506.75    901.81 :    1.780
T400  CVB R,m                :    122.20    220.01 :    1.800
D174  MVCL (4kb)             :    983.57   2038.69 :    2.073
T404  UNPK m,m (5d)          :    141.12    299.33 :    2.121
D179  MVCL (1kb,over2)       :    339.23    815.78 :    2.405
T450  MVO m,m (10d)          :    164.82    396.42 :    2.405
T402  PACK m,m (5d)          :    122.59    299.33 :    2.442
T254  TR m,m (250c)          :    439.99   1101.19 :    2.503
D321  BALR R,R (far)         :     80.80    213.55 :    2.643
D173  MVCL (1kb)             :    273.32    736.26 :    2.694
T155  MVC m,m (250c)         :    129.91    355.46 :    2.736
T510  AER R,R                :     40.25    111.01 :    2.758
T512  SER R,R                :     40.15    111.01 :    2.765
D610  EX R,i (bare, via TM)  :     37.23    106.30 :    2.855
T401  CVD R,m                :    107.26    306.93 :    2.862
T514  MER R,R                :     40.98    120.40 :    2.938
D177  MVCL (4kb,pad)         :    416.37   1228.42 :    2.950
T253  TR m,m (100c)          :    207.64    650.15 :    3.131
T542  SDR R,R                :     41.93    132.30 :    3.155
T192  ICM R,i,m (1100)       :     55.95    176.58 :    3.156
T540  ADR R,R                :     41.70    132.30 :    3.173
T191  ICM R,i,m (0010)       :     53.04    172.13 :    3.245
D323  BAL R,R (far)          :     60.56    206.27 :    3.406
T550  CDR R,R                :     31.40    107.60 :    3.427
D172  MVCL (250b)            :    124.60    428.43 :    3.438
T154  MVC m,m (100c)         :     88.17    310.12 :    3.517
T511  AE R,m                 :     54.77    194.83 :    3.557
T516  DER R,R                :     39.22    140.60 :    3.585
T513  SE R,m                 :     54.06    194.64 :    3.600
T303  BNZ l (do br, far)     :     49.39    179.89 :    3.642
D611  EX R,i (bare, via XI)  :     30.74    113.43 :    3.690
T560  AXR R,R                :     67.90    250.96 :    3.696
T515  ME R,m                 :     54.72    209.22 :    3.823
T520  CER R,R                :     28.34    108.68 :    3.835
T315  BXLE R,R,l             :     21.38     83.02 :    3.883
T543  SD R,m                 :     56.19    218.48 :    3.888
T151  MVC m,m (10c)          :     76.25    296.92 :    3.894
T541  AD R,m                 :     55.81    218.48 :    3.915
T544  MDR R,R                :     67.58    266.41 :    3.942
T305  BR R (far)             :     40.64    160.74 :    3.955
T537  LRDR R,R               :     23.49     93.50 :    3.980
T166  MVZ m,m (30c)          :    120.43    481.31 :    3.997
T193  ICM R,i,m (0111)       :     43.28    176.25 :    4.072
T153  MVC m,m (30c)          :     73.15    301.13 :    4.117
T125  LM 0,11,m (12r)        :     55.99    235.00 :    4.197
T162  MVN m,m (30c)          :    114.12    480.29 :    4.209
D171  MVCL (100b)            :     88.37    372.83 :    4.219
T551  CD R,m                 :     45.96    194.07 :    4.223
T517  DE R,m                 :     54.30    229.35 :    4.224
T152  MVC m,m (15c)          :     70.60    303.86 :    4.304
T117  STCM R,i,m (1100)      :     42.67    186.91 :    4.380
T270  CLC m,m (10c,eq)       :     53.01    233.64 :    4.407
T610  EX R,i (with TM)       :     60.29    266.23 :    4.416
T561  MXR R,R                :    105.19    465.76 :    4.428
T552  AWR R,R                :     25.22    112.05 :    4.443
T545  MD R,m                 :     80.51    358.95 :    4.458
T521  CE R,m                 :     42.87    191.22 :    4.460
T312  BCT R,l                :     18.41     82.68 :    4.491
T116  STCM R,i,m (0010)      :     40.16    184.96 :    4.606
T118  STCM R,i,m (0111)      :     39.44    182.23 :    4.620
T150  MVC m,m (5c)           :     63.75    296.92 :    4.658
D178  MVCL (1kb,over1)       :     28.09    131.49 :    4.681
T266  CLM R,i,m              :     36.65    172.45 :    4.705
T272  CLC m,m (30c,eq)       :     61.60    291.74 :    4.736
T311  BCTR R,R               :     17.20     81.55 :    4.741
T523  HER R,R                :     19.49     92.53 :    4.748
T124  LM 2,7,m (6r)          :     42.01    200.13 :    4.764
D175  MVCL (100b,pad)        :     67.26    322.81 :    4.799
T553  HDR R,R                :     21.61    104.43 :    4.832
T121  STM 2,7,m (6r)         :     42.74    207.02 :    4.844
T221  SLDA R,1               :     20.83    101.39 :    4.867
T304  BR R                   :     14.90     73.40 :    4.926
D176  MVCL (1kb,pad)         :    120.73    601.37 :    4.981
T120  STM 2,3,m (2r)         :     37.07    189.52 :    5.112
T123  LM 2,3,m (2r)          :     34.37    176.11 :    5.124
T522  AUR R,R                :     21.39    109.65 :    5.126
T611  EX R,i (with XI)       :     68.12    354.66 :    5.206
T122  STM 14,12,m (15r)      :     63.23    331.51 :    5.243
T507  LRER R,R               :     17.76     94.54 :    5.323
D170  MVCL (10b)             :     67.68    361.91 :    5.347
T220  SLA R,1                :     17.25     92.96 :    5.389
T235  XC m,m (10c)           :     74.78    406.96 :    5.442
T536  LPDR R,R               :     16.66     91.12 :    5.469
