s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2020-04-18_nbk1.dat                        330   0.78%     2.2%
      02: 2018-06-17_nbk1-b.dat                      330   0.67%     2.1%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D621  TS m (ones)            :    539.96    470.50 :    0.871
D292  CS R,R,m (ne)          :    543.21    473.93 :    0.872
D297  CDS R,R,m (ne)         :    545.12    478.72 :    0.878
T601  SPM R                  :      2.83      2.77 :    0.979
D175  MVCL (100b,pad)        :     19.15     19.70 :    1.029
T544  MDR R,R                :     15.60     16.18 :    1.037
D283  CLCL (4kb,250b)        :   2235.08   2329.50 :    1.042
T111  ST R,m (unal)          :      7.95      8.29 :    1.043
T404  UNPK m,m (5d)          :     40.56     42.31 :    1.043
T157  MVC m,m (250c,over2)   :     33.12     34.55 :    1.043
T443  ZAP m,m (30d,10d)      :    101.68    106.08 :    1.043
T255  TRT m,m (10c,zero)     :     79.89     83.35 :    1.043
D322  BAL R,R                :      7.57      7.90 :    1.044
T440  ZAP m,m (10d,10d)      :    101.73    106.20 :    1.044
T540  ADR R,R                :     14.56     15.20 :    1.044
D171  MVCL (100b)            :     31.15     32.52 :    1.044
T515  ME R,m                 :     14.11     14.74 :    1.045
T522  AUR R,R                :      9.62     10.05 :    1.045
T530  LDR R,R                :      4.45      4.65 :    1.045
T153  MVC m,m (30c)          :     19.76     20.65 :    1.045
T151  MVC m,m (10c)          :     20.11     21.02 :    1.045
T534  LCDR R,R               :      5.03      5.26 :    1.046
T537  LRDR R,R               :      6.77      7.08 :    1.046
T166  MVZ m,m (30c)          :     35.63     37.27 :    1.046
T501  LE R,m                 :      8.69      9.09 :    1.046
T192  ICM R,i,m (1100)       :     16.94     17.72 :    1.046
T230  XR R,R                 :      3.04      3.18 :    1.046
T517  DE R,m                 :     24.29     25.41 :    1.046
T276  CLC m,m (250c,eq)      :    179.57    187.85 :    1.046
T113  STH R,m (unal1)        :      8.89      9.30 :    1.046
T258  TRT m,m (250c,10b)     :     88.89     92.99 :    1.046
T122  STM 14,12,m (15r)      :     20.10     21.03 :    1.046
T445  SRP m,i,i (30d,<<)     :    131.41    137.53 :    1.047
T154  MVC m,m (100c)         :     23.61     24.71 :    1.047
T424  MP m,m (10d)           :    279.80    292.85 :    1.047
T541  AD R,m                 :     19.26     20.16 :    1.047
T442  ZAP m,m (10d,30d)      :    101.93    106.70 :    1.047
T236  XC m,m (100c)          :    108.12    113.18 :    1.047
D411  ED (30c)               :    382.28    400.21 :    1.047
T201  A R,m                  :      8.74      9.15 :    1.047
T520  CER R,R                :     10.87     11.38 :    1.047
T190  IC R,m                 :      8.52      8.92 :    1.047
T150  MVC m,m (5c)           :     17.84     18.68 :    1.047
D415  EDMK (10c)             :    133.49    139.78 :    1.047
T222  SRA R,1                :      4.66      4.88 :    1.047
D176  MVCL (1kb,pad)         :     35.50     37.18 :    1.047
T110  ST R,m                 :      7.18      7.52 :    1.047
T425  MP m,m (30d)           :    284.48    298.01 :    1.048
T421  AP m,m (30d)           :    222.78    233.38 :    1.048
T514  MER R,R                :      9.65     10.11 :    1.048
T256  TRT m,m (100c,zero)    :    731.62    766.56 :    1.048
T561  MXR R,R                :     28.24     29.59 :    1.048
D426  DP m,m (10d)           :    430.27    450.84 :    1.048
T553  HDR R,R                :      6.88      7.21 :    1.048
T451  MVO m,m (30d)          :    126.29    132.35 :    1.048
T273  CLC m,m (30c,ne)       :     30.70     32.18 :    1.048
T257  TRT m,m (250c,zero)    :   1804.60   1891.67 :    1.048
T521  CE R,m                 :     16.16     16.94 :    1.048
T250  TM m,i                 :      8.70      9.12 :    1.048
T539  STD R,m (unal)         :      9.32      9.77 :    1.048
T167  MVCIN m,m (10c)        :     70.70     74.12 :    1.048
T420  AP m,m (10d)           :    228.40    239.48 :    1.049
T120  STM 2,3,m (2r)         :     10.71     11.23 :    1.049
T252  TR m,m (10c)           :     17.25     18.09 :    1.049
T169  MVCIN m,m (100c)       :    652.05    683.83 :    1.049
D172  MVCL (250b)            :     40.60     42.58 :    1.049
T116  STCM R,i,m (0010)      :     12.70     13.32 :    1.049
T245  SLDL R,60              :      5.32      5.58 :    1.049
T266  CLM R,i,m              :     12.06     12.65 :    1.049
T232  XI m,i                 :      9.40      9.86 :    1.049
T510  AER R,R                :     13.67     14.34 :    1.049
T270  CLC m,m (10c,eq)       :     36.30     38.08 :    1.049
T507  LRER R,R               :      5.70      5.98 :    1.049
T403  PACK m,m (15d)         :     91.19     95.67 :    1.049
T118  STCM R,i,m (0111)      :      9.56     10.03 :    1.049
T123  LM 2,3,m (2r)          :     11.18     11.73 :    1.049
T536  LPDR R,R               :      5.08      5.33 :    1.049
T263  CLR R,R                :      2.64      2.77 :    1.049
T431  CP m,m (30d)           :    162.77    170.79 :    1.049
T235  XC m,m (10c)           :     23.28     24.43 :    1.049
T162  MVN m,m (30c)          :     35.57     37.33 :    1.049
T168  MVCIN m,m (30c)        :    198.53    208.36 :    1.050
D323  BAL R,R (far)          :     16.95     17.79 :    1.050
T552  AWR R,R                :     11.50     12.07 :    1.050
T550  CDR R,R                :     11.90     12.49 :    1.050
T545  MD R,m                 :     21.55     22.62 :    1.050
T240  SLL R,1                :      4.02      4.22 :    1.050
T152  MVC m,m (15c)          :     19.08     20.03 :    1.050
T221  SLDA R,1               :      7.02      7.37 :    1.050
D215  DR R,R                 :     14.84     15.58 :    1.050
T155  MVC m,m (250c)         :     33.07     34.72 :    1.050
T538  STD R,m                :      9.41      9.88 :    1.050
T551  CD R,m                 :     17.41     18.28 :    1.050
T511  AE R,m                 :     18.81     19.75 :    1.050
D177  MVCL (4kb,pad)         :     99.00    103.95 :    1.050
T262  CH R,m                 :      8.39      8.81 :    1.050
T160  MVI m,i                :      7.57      7.95 :    1.050
D173  MVCL (1kb)             :    100.40    105.44 :    1.050
T402  PACK m,m (5d)          :     36.45     38.28 :    1.050
T446  SRP m,i,i (30d,>>)     :    186.05    195.41 :    1.050
T441  ZAP m,m (30d,30d)      :    102.12    107.26 :    1.050
T405  UNPK m,m (15d)         :     97.50    102.41 :    1.050
T242  SRL R,1                :      3.97      4.17 :    1.050
T543  SD R,m                 :     20.39     21.42 :    1.051
T253  TR m,m (100c)          :     74.03     77.77 :    1.051
T275  CLC m,m (100c,ne)      :     30.68     32.23 :    1.051
T117  STCM R,i,m (1100)      :     14.25     14.97 :    1.051
T450  MVO m,m (10d)          :     48.01     50.44 :    1.051
T303  BNZ l (do br, far)     :     13.03     13.69 :    1.051
T203  ALR R,R                :      2.76      2.90 :    1.051
T500  LER R,R                :      4.13      4.34 :    1.051
T100  LR R,R                 :      2.16      2.27 :    1.051
T202  AH R,m                 :      9.42      9.90 :    1.051
T274  CLC m,m (100c,eq)      :     91.45     96.12 :    1.051
D620  TS m (zero)            :     34.98     36.77 :    1.051
T504  LCER R,R               :      4.69      4.93 :    1.051
T191  ICM R,i,m (0010)       :     16.01     16.83 :    1.051
T121  STM 2,7,m (6r)         :     13.65     14.35 :    1.051
T523  HER R,R                :      5.85      6.15 :    1.051
T200  AR R,R                 :      3.31      3.48 :    1.051
T254  TR m,m (250c)          :    160.87    169.15 :    1.051
T224  SRA R,30               :      4.66      4.90 :    1.052
T259  TRT m,m (250c,100b)    :    744.91    783.29 :    1.052
T212  MH R,m                 :      9.31      9.79 :    1.052
D295  CDS R,R,m (eq,eq)      :     38.79     40.79 :    1.052
T124  LM 2,7,m (6r)          :     14.53     15.28 :    1.052
T114  STH R,m (unal3)        :      8.89      9.35 :    1.052
T506  LPER R,R               :      5.02      5.28 :    1.052
T430  CP m,m (10d)           :    161.12    169.47 :    1.052
T310  BCTR R,0               :      3.27      3.44 :    1.052
T512  SER R,R                :     13.84     14.56 :    1.052
T533  LTDR R,R               :      4.99      5.25 :    1.052
T423  SP m,m (30d)           :    241.79    254.41 :    1.052
T513  SE R,m                 :     18.96     19.95 :    1.052
D291  CS R,R,m (eq,ne)       :     38.08     40.07 :    1.052
T503  LTER R,R               :      4.59      4.83 :    1.052
T505  LNER R,R               :      4.59      4.83 :    1.052
T542  SDR R,R                :     14.53     15.29 :    1.052
T165  MVZ m,m (10c)          :     20.83     21.92 :    1.052
T531  LD R,m                 :      9.36      9.85 :    1.052
T161  MVN m,m (10c)          :     20.81     21.90 :    1.052
T260  CR R,R                 :      2.67      2.81 :    1.052
T239  OR R,R                 :      3.05      3.21 :    1.052
D320  BALR R,R               :      5.90      6.21 :    1.053
T400  CVB R,m                :     39.20     41.26 :    1.053
T261  C R,m                  :      8.18      8.61 :    1.053
T265  CLI m,i                :      9.11      9.59 :    1.053
T241  SLDL R,1               :      5.31      5.59 :    1.053
T108  LNR R,R                :      3.03      3.19 :    1.053
T105  LH R,m (unal3)         :      9.82     10.34 :    1.053
T210  MR R,R                 :      4.53      4.77 :    1.053
T264  CL R,m                 :      7.35      7.74 :    1.053
T231  X R,m                  :      9.04      9.52 :    1.053
D174  MVCL (4kb)             :    342.74    360.95 :    1.053
D282  CLCL (4kb,100b)        :    906.48    954.67 :    1.053
D410  ED (10c)               :    130.80    137.76 :    1.053
T102  L R,m                  :      7.14      7.52 :    1.053
T125  LM 0,11,m (12r)        :     19.14     20.16 :    1.053
T193  ICM R,i,m (0111)       :     12.56     13.23 :    1.053
T535  LNDR R,R               :      5.06      5.33 :    1.053
T532  LD R,m (unal)          :      9.37      9.87 :    1.053
T208  SLR R,R                :      2.81      2.96 :    1.053
T211  M R,m                  :      9.92     10.45 :    1.053
T509  STE R,m (unal)         :      9.53     10.04 :    1.054
D178  MVCL (1kb,over1)       :     10.46     11.02 :    1.054
T237  XC m,m (250c)          :    239.57    252.45 :    1.054
T103  L R,m (unal)           :      8.18      8.62 :    1.054
T610  EX R,i (with TM)       :     29.73     31.33 :    1.054
T220  SLA R,1                :      6.13      6.46 :    1.054
T107  LCR R,R                :      3.34      3.52 :    1.054
T560  AXR R,R                :     24.62     25.95 :    1.054
T271  CLC m,m (10c,ne)       :     30.71     32.37 :    1.054
T206  S R,m                  :      9.24      9.74 :    1.054
T546  DDR R,R                :    153.35    161.65 :    1.054
T223  SRDA R,1               :      5.91      6.23 :    1.054
D324  BASR R,R               :      6.08      6.41 :    1.054
T301  BNZ l (no br)          :      2.21      2.33 :    1.054
T305  BR R (far)             :     10.64     11.22 :    1.055
T207  SH R,m                 :      9.72     10.25 :    1.055
T547  DD R,m                 :    156.17    164.69 :    1.055
T101  LA R,n                 :      2.93      3.09 :    1.055
T243  SRDL R,1               :      5.31      5.60 :    1.055
D170  MVCL (10b)             :     23.78     25.08 :    1.055
T508  STE R,m                :      8.78      9.26 :    1.055
T272  CLC m,m (30c,eq)       :     48.54     51.20 :    1.055
T156  MVC m,m (250c,over1)   :    361.64    381.49 :    1.055
T244  SLL R,30               :      4.00      4.22 :    1.055
T502  LE R,m (unal)          :      9.26      9.77 :    1.055
T209  SL R,m                 :      9.98     10.53 :    1.055
T401  CVD R,m                :     33.17     35.00 :    1.055
D179  MVCL (1kb,over2)       :    105.43    111.25 :    1.055
T205  SR R,R                 :      3.80      4.01 :    1.055
T109  LPR R,R                :      3.61      3.81 :    1.055
D296  CDS R,R,m (eq,ne)      :     38.65     40.80 :    1.056
