s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2020-04-18_nbk2.dat                        330   1.14%     3.6%
      02: 2018-06-23_nbk2.dat                        330   1.65%     4.5%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T224  SRA R,30               :      6.84      6.58 :    0.962
T222  SRA R,1                :      6.81      6.64 :    0.975
T238  NR R,R                 :      4.45      4.42 :    0.993
T239  OR R,R                 :      4.42      4.41 :    0.998
T230  XR R,R                 :      4.43      4.45 :    1.005
T310  BCTR R,0               :      4.53      4.56 :    1.007
D175  MVCL (100b,pad)        :     32.30     32.52 :    1.007
T538  STD R,m                :     14.83     14.94 :    1.007
T114  STH R,m (unal3)        :     14.04     14.16 :    1.009
T430  CP m,m (10d)           :    336.29    339.25 :    1.009
T112  STH R,m                :     14.49     14.62 :    1.009
T108  LNR R,R                :      4.50      4.55 :    1.011
T442  ZAP m,m (10d,30d)      :    208.12    210.45 :    1.011
T431  CP m,m (30d)           :    335.71    339.77 :    1.012
T425  MP m,m (30d)           :    511.67    517.87 :    1.012
T508  STE R,m                :     13.65     13.82 :    1.012
D411  ED (30c)               :    641.02    649.74 :    1.014
T530  LDR R,R                :      6.44      6.53 :    1.014
T520  CER R,R                :     15.60     15.82 :    1.014
T421  AP m,m (30d)           :    513.82    521.14 :    1.014
T300  BCR 0,0 (noop)         :      3.49      3.54 :    1.014
T113  STH R,m (unal1)        :     13.91     14.11 :    1.014
T443  ZAP m,m (30d,10d)      :    207.39    210.42 :    1.015
T424  MP m,m (10d)           :    508.31    515.84 :    1.015
T111  ST R,m (unal)          :     12.62     12.81 :    1.015
T422  SP m,m (10d)           :    456.95    463.88 :    1.015
D323  BAL R,R (far)          :     25.04     25.42 :    1.015
T117  STCM R,i,m (1100)      :     19.50     19.80 :    1.015
T210  MR R,R                 :      5.85      5.94 :    1.015
T441  ZAP m,m (30d,30d)      :    206.89    210.08 :    1.015
T276  CLC m,m (250c,eq)      :    220.48    224.05 :    1.016
T423  SP m,m (30d)           :    525.05    533.80 :    1.017
T503  LTER R,R               :      7.53      7.66 :    1.017
T243  SRDL R,1               :      8.00      8.14 :    1.018
T550  CDR R,R                :     16.95     17.25 :    1.018
D176  MVCL (1kb,pad)         :     49.62     50.51 :    1.018
T511  AE R,m                 :     27.14     27.63 :    1.018
