s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2020-04-18_sys1.dat                        330   0.21%     4.9%
      02: 2018-04-01_sys1-08.dat                     330   0.52%     6.2%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T600  STCK m                 :   1067.95    515.42 :    0.483
T157  MVC m,m (250c,over2)   :     52.30     46.01 :    0.880
D172  MVCL (250b)            :     66.19     58.77 :    0.888
D215  DR R,R                 :     22.50     21.01 :    0.934
D175  MVCL (100b,pad)        :     45.12     43.23 :    0.958
T239  OR R,R                 :      4.10      3.96 :    0.966
T238  NR R,R                 :      4.09      3.96 :    0.968
T154  MVC m,m (100c)         :     35.89     34.87 :    0.972
D176  MVCL (1kb,pad)         :     59.86     58.22 :    0.973
D296  CDS R,R,m (eq,ne)      :     80.07     77.96 :    0.974
D295  CDS R,R,m (eq,eq)      :     80.00     77.94 :    0.974
T161  MVN m,m (10c)          :     32.84     32.01 :    0.975
T252  TR m,m (10c)           :     26.29     25.69 :    0.977
D178  MVCL (1kb,over1)       :     16.54     16.24 :    0.982
T304  BR R                   :      7.11      6.99 :    0.983
T113  STH R,m (unal1)        :     14.90     14.69 :    0.986
D171  MVCL (100b)            :     48.01     47.44 :    0.988
T202  AH R,m                 :     15.69     15.51 :    0.989
T201  A R,m                  :     14.32     14.16 :    0.989
T206  S R,m                  :     16.38     16.20 :    0.989
D170  MVCL (10b)             :     38.52     38.10 :    0.989
T305  BR R (far)             :     15.48     15.34 :    0.991
D177  MVCL (4kb,pad)         :    146.93    145.68 :    0.991
T533  LTDR R,R               :      7.09      7.05 :    0.994
T115  STC R,m                :     13.98     13.91 :    0.995
T513  SE R,m                 :     28.38     28.24 :    0.995
T118  STCM R,i,m (0111)      :     16.08     16.02 :    0.996
D216  D R,m                  :     32.09     31.98 :    0.997
T123  LM 2,3,m (2r)          :     17.60     17.54 :    0.997
D610  EX R,i (bare, via TM)  :     28.52     28.43 :    0.997
T502  LE R,m (unal)          :     16.25     16.20 :    0.997
T535  LNDR R,R               :      7.02      7.00 :    0.997
D173  MVCL (1kb)             :    127.59    127.23 :    0.997
T520  CER R,R                :     14.33     14.29 :    0.997
T512  SER R,R                :     18.92     18.87 :    0.997
T601  SPM R                  :      3.86      3.85 :    0.997
T509  STE R,m (unal)         :     14.94     14.91 :    0.998
D325  BAS R,R                :     10.71     10.69 :    0.998
T232  XI m,i                 :     17.02     16.99 :    0.998
T516  DER R,R                :     23.88     23.84 :    0.998
T522  AUR R,R                :     13.05     13.03 :    0.998
T117  STCM R,i,m (1100)      :     20.02     19.99 :    0.999
T315  BXLE R,R,l             :     10.64     10.63 :    0.999
T515  ME R,m                 :     23.35     23.33 :    0.999
T231  X R,m                  :     13.70     13.69 :    0.999
T112  STH R,m                :     15.05     15.04 :    0.999
T236  XC m,m (100c)          :    135.78    135.69 :    0.999
D281  CLCL (4kb,10b)         :    144.54    144.46 :    0.999
T510  AER R,R                :     18.87     18.86 :    0.999
T121  STM 2,7,m (6r)         :     21.64     21.63 :    1.000
T152  MVC m,m (15c)          :     29.77     29.76 :    1.000
T162  MVN m,m (30c)          :     50.05     50.04 :    1.000
D322  BAL R,R                :     10.41     10.41 :    1.000
T101  LA R,n                 :      3.89      3.89 :    1.000
T105  LH R,m (unal3)         :     15.86     15.86 :    1.000
T200  AR R,R                 :      4.22      4.22 :    1.000
T205  SR R,R                 :      4.85      4.85 :    1.000
T230  XR R,R                 :      3.95      3.95 :    1.000
T266  CLM R,i,m              :     17.97     17.97 :    1.000
T300  BCR 0,0 (noop)         :      3.28      3.28 :    1.000
T301  BNZ l (no br)          :      3.09      3.09 :    1.000
T514  MER R,R                :     13.57     13.57 :    1.000
T530  LDR R,R                :      5.84      5.84 :    1.000
T544  MDR R,R                :     22.08     22.08 :    1.000
T552  AWR R,R                :     16.51     16.51 :    1.000
T610  EX R,i (with TM)       :     43.37     43.38 :    1.000
T122  STM 14,12,m (15r)      :     30.64     30.65 :    1.000
T153  MVC m,m (30c)          :     30.42     30.43 :    1.000
T431  CP m,m (30d)           :    351.05    351.21 :    1.000
D410  ED (10c)               :    196.12    196.21 :    1.000
T124  LM 2,7,m (6r)          :     21.77     21.78 :    1.000
T303  BNZ l (do br, far)     :     17.55     17.56 :    1.001
T265  CLI m,i                :     16.43     16.44 :    1.001
T151  MVC m,m (10c)          :     31.38     31.40 :    1.001
