s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2020-04-18_sys2.dat                        330   6.12%    15.1%
      02: 2018-03-31_sys2.dat                        330   0.89%     4.5%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D292  CS R,R,m (ne)          :    368.93    174.66 :    0.473
D297  CDS R,R,m (ne)         :    367.84    176.49 :    0.480
D621  TS m (ones)            :    358.13    174.69 :    0.488
D175  MVCL (100b,pad)        :     27.72     19.89 :    0.718
T600  STCK m                 :     90.60     65.48 :    0.723
D290  CS R,R,m (eq,eq)       :     40.23     36.80 :    0.915
D281  CLCL (4kb,10b)         :    109.68    100.88 :    0.920
D280  CLCL (100b,10b)        :    106.10     98.28 :    0.926
D178  MVCL (1kb,over1)       :     11.60     10.77 :    0.928
T116  STCM R,i,m (0010)      :     13.09     12.30 :    0.940
T240  SLL R,1                :      4.54      4.31 :    0.949
T244  SLL R,30               :      4.55      4.32 :    0.949
T125  LM 0,11,m (12r)        :     21.41     20.33 :    0.950
T510  AER R,R                :     15.33     14.56 :    0.950
T117  STCM R,i,m (1100)      :     14.02     13.36 :    0.953
T514  MER R,R                :     10.54     10.06 :    0.954
T103  L R,m (unal)           :      9.01      8.60 :    0.954
T104  LH R,m                 :      9.52      9.09 :    0.955
D291  CS R,R,m (eq,ne)       :     38.56     36.84 :    0.955
T111  ST R,m (unal)          :      9.04      8.65 :    0.957
D611  EX R,i (bare, via XI)  :     21.79     20.85 :    0.957
T109  LPR R,R                :      3.96      3.79 :    0.957
T545  MD R,m                 :     23.31     22.32 :    0.958
T303  BNZ l (do br, far)     :     13.44     12.88 :    0.958
T123  LM 2,3,m (2r)          :     11.77     11.30 :    0.960
T190  IC R,m                 :      9.35      8.98 :    0.960
T423  SP m,m (30d)           :    243.14    233.56 :    0.961
T225  SRDA R,60              :      6.48      6.26 :    0.966
T611  EX R,i (with XI)       :     31.68     30.62 :    0.967
T102  L R,m                  :      7.71      7.47 :    0.969
T532  LD R,m (unal)          :     10.18      9.87 :    0.970
T543  SD R,m                 :     21.62     20.98 :    0.970
T531  LD R,m                 :     10.29      9.99 :    0.971
T512  SER R,R                :     15.04     14.64 :    0.973
T315  BXLE R,R,l             :      8.81      8.58 :    0.974
T305  BR R (far)             :     11.01     10.73 :    0.975
T515  ME R,m                 :     15.45     15.06 :    0.975
T204  AL R,m                 :     10.65     10.39 :    0.976
T108  LNR R,R                :      3.30      3.22 :    0.976
T100  LR R,R                 :      2.14      2.09 :    0.977
D610  EX R,i (bare, via TM)  :     22.27     21.75 :    0.977
T513  SE R,m                 :     20.43     19.97 :    0.977
T252  TR m,m (10c)           :     16.81     16.44 :    0.978
T523  HER R,R                :      6.41      6.27 :    0.978
T500  LER R,R                :      5.66      5.54 :    0.979
T121  STM 2,7,m (6r)         :     14.68     14.38 :    0.980
T446  SRP m,i,i (30d,>>)     :    191.23    187.37 :    0.980
T265  CLI m,i                :      9.99      9.79 :    0.980
T420  AP m,m (10d)           :    226.36    221.84 :    0.980
T401  CVD R,m                :     36.75     36.04 :    0.981
T505  LNER R,R               :      5.21      5.11 :    0.981
T107  LCR R,R                :      3.72      3.65 :    0.981
T431  CP m,m (30d)           :    161.03    158.00 :    0.981
T610  EX R,i (with TM)       :     31.14     30.57 :    0.982
T275  CLC m,m (100c,ne)      :     30.54     30.00 :    0.982
T242  SRL R,1                :      4.55      4.47 :    0.982
T243  SRDL R,1               :      5.88      5.78 :    0.983
T113  STH R,m (unal1)        :      9.56      9.40 :    0.983
T424  MP m,m (10d)           :    282.37    277.65 :    0.983
T547  DD R,m                 :    158.98    156.37 :    0.984
T254  TR m,m (250c)          :    153.69    151.23 :    0.984
T544  MDR R,R                :     16.63     16.37 :    0.984
T122  STM 14,12,m (15r)      :     20.04     19.73 :    0.985
D282  CLCL (4kb,100b)        :    884.11    870.45 :    0.985
T443  ZAP m,m (30d,10d)      :    101.96    100.39 :    0.985
T260  CR R,R                 :      2.60      2.56 :    0.985
T230  XR R,R                 :      3.25      3.20 :    0.985
T224  SRA R,30               :      5.21      5.13 :    0.985
T264  CL R,m                 :      7.86      7.74 :    0.985
T312  BCT R,l                :      8.54      8.41 :    0.985
T551  CD R,m                 :     18.42     18.15 :    0.985
T517  DE R,m                 :     25.32     24.95 :    0.985
T221  SLDA R,1               :      7.54      7.43 :    0.985
T535  LNDR R,R               :      5.53      5.45 :    0.986
T120  STM 2,3,m (2r)         :     11.18     11.02 :    0.986
T301  BNZ l (no br)          :      2.14      2.11 :    0.986
T211  M R,m                  :     10.08      9.94 :    0.986
T253  TR m,m (100c)          :     70.60     69.62 :    0.986
T503  LTER R,R               :      5.08      5.01 :    0.986
T304  BR R                   :      6.79      6.70 :    0.987
T538  STD R,m                :      9.97      9.84 :    0.987
T153  MVC m,m (30c)          :     19.99     19.73 :    0.987
T205  SR R,R                 :      3.91      3.86 :    0.987
T425  MP m,m (30d)           :    281.15    277.56 :    0.987
T231  X R,m                  :      9.51      9.39 :    0.987
T105  LH R,m (unal3)         :      9.60      9.48 :    0.988
T400  CVB R,m                :     39.38     38.90 :    0.988
T440  ZAP m,m (10d,10d)      :    101.81    100.57 :    0.988
T232  XI m,i                 :      9.89      9.77 :    0.988
T560  AXR R,R                :     25.97     25.66 :    0.988
T508  STE R,m                :      9.25      9.14 :    0.988
T263  CLR R,R                :      2.54      2.51 :    0.988
T237  XC m,m (250c)          :    227.87    225.18 :    0.988
T501  LE R,m                 :      9.33      9.22 :    0.988
T222  SRA R,1                :      5.20      5.14 :    0.988
T110  ST R,m                 :      7.80      7.71 :    0.988
T509  STE R,m (unal)         :      9.82      9.71 :    0.989
T151  MVC m,m (10c)          :     20.23     20.01 :    0.989
T220  SLA R,1                :      6.54      6.47 :    0.989
T271  CLC m,m (10c,ne)       :     30.31     29.99 :    0.989
T241  SLDL R,1               :      5.84      5.78 :    0.990
T504  LCER R,R               :      4.89      4.84 :    0.990
D172  MVCL (250b)            :     41.36     40.94 :    0.990
T118  STCM R,i,m (0111)      :      9.91      9.81 :    0.990
T540  ADR R,R                :     15.58     15.43 :    0.990
T430  CP m,m (10d)           :    159.33    157.86 :    0.991
D426  DP m,m (10d)           :    446.96    442.87 :    0.991
T212  MH R,m                 :     10.11     10.02 :    0.991
T200  AR R,R                 :      3.43      3.40 :    0.991
T274  CLC m,m (100c,eq)      :     84.34     83.62 :    0.991
T150  MVC m,m (5c)           :     17.81     17.66 :    0.992
T166  MVZ m,m (30c)          :     34.03     33.75 :    0.992
T541  AD R,m                 :     20.82     20.65 :    0.992
T191  ICM R,i,m (0010)       :     16.00     15.87 :    0.992
T165  MVZ m,m (10c)          :     20.18     20.02 :    0.992
