s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2020-04-15_sys3.dat                        330   0.13%     0.4%
      02: 2020-04-18_sys2.dat                        330   6.12%    15.1%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
D621  TS m (ones)            :    571.86    358.13 :    0.626
D297  CDS R,R,m (ne)         :    575.12    367.84 :    0.640
D292  CS R,R,m (ne)          :    573.48    368.93 :    0.643
T423  SP m,m (30d)           :    259.72    243.14 :    0.936
T445  SRP m,i,i (30d,<<)     :    134.68    126.88 :    0.942
T441  ZAP m,m (30d,30d)      :    106.45    101.06 :    0.949
T422  SP m,m (10d)           :    235.61    223.77 :    0.950
T442  ZAP m,m (10d,30d)      :    106.44    101.19 :    0.951
T443  ZAP m,m (30d,10d)      :    106.29    101.96 :    0.959
T440  ZAP m,m (10d,10d)      :    106.04    101.81 :    0.960
T405  UNPK m,m (15d)         :    105.29    102.46 :    0.973
D320  BALR R,R               :      6.68      6.54 :    0.979
T430  CP m,m (10d)           :    162.64    159.33 :    0.980
T276  CLC m,m (250c,eq)      :    170.00    167.12 :    0.983
T431  CP m,m (30d)           :    163.21    161.03 :    0.987
T420  AP m,m (10d)           :    227.51    226.36 :    0.995
T274  CLC m,m (100c,eq)      :     84.76     84.34 :    0.995
D323  BAL R,R (far)          :     16.23     16.19 :    0.998
T272  CLC m,m (30c,eq)       :     44.76     45.36 :    1.013
T547  DD R,m                 :    156.59    158.98 :    1.015
T421  AP m,m (30d)           :    214.76    218.23 :    1.016
T546  DDR R,R                :    150.64    153.58 :    1.020
T270  CLC m,m (10c,eq)       :     33.08     34.38 :    1.039
T192  ICM R,i,m (1100)       :     15.84     16.57 :    1.046
D324  BASR R,R               :      6.43      6.78 :    1.054
T193  ICM R,i,m (0111)       :     11.92     12.59 :    1.056
T277  CLC m,m (250c,ne)      :     28.26     30.09 :    1.065
T404  UNPK m,m (5d)          :     40.31     42.93 :    1.065
T273  CLC m,m (30c,ne)       :     28.26     30.12 :    1.066
T271  CLC m,m (10c,ne)       :     28.26     30.31 :    1.073
D325  BAS R,R                :      7.90      8.50 :    1.076
D426  DP m,m (10d)           :    414.79    446.96 :    1.078
T424  MP m,m (10d)           :    261.73    282.37 :    1.079
T275  CLC m,m (100c,ne)      :     28.26     30.54 :    1.081
T446  SRP m,i,i (30d,>>)     :    176.63    191.23 :    1.083
T425  MP m,m (30d)           :    259.28    281.15 :    1.084
D322  BAL R,R                :      7.82      8.48 :    1.084
T516  DER R,R                :     18.77     20.46 :    1.090
T191  ICM R,i,m (0010)       :     14.66     16.00 :    1.091
T300  BCR 0,0 (noop)         :      2.27      2.48 :    1.093
T101  LA R,n                 :      2.53      2.78 :    1.099
D427  DP m,m (30d)           :    932.25   1030.12 :    1.105
T303  BNZ l (do br, far)     :     12.08     13.44 :    1.113
T252  TR m,m (10c)           :     15.04     16.81 :    1.118
D283  CLCL (4kb,250b)        :   1919.02   2145.17 :    1.118
D620  TS m (zero)            :     31.07     34.83 :    1.121
D291  CS R,R,m (eq,ne)       :     34.35     38.56 :    1.123
D411  ED (30c)               :    347.21    390.86 :    1.126
D415  EDMK (10c)             :    117.52    132.46 :    1.127
T162  MVN m,m (30c)          :     29.88     33.83 :    1.132
T166  MVZ m,m (30c)          :     30.04     34.03 :    1.133
T256  TRT m,m (100c,zero)    :    689.18    781.61 :    1.134
T257  TRT m,m (250c,zero)    :   1706.34   1936.83 :    1.135
D282  CLCL (4kb,100b)        :    777.87    884.11 :    1.137
T259  TRT m,m (250c,100b)    :    701.06    798.38 :    1.139
T263  CLR R,R                :      2.23      2.54 :    1.139
T400  CVB R,m                :     34.55     39.38 :    1.140
T260  CR R,R                 :      2.28      2.60 :    1.140
D410  ED (10c)               :    113.04    129.01 :    1.141
D295  CDS R,R,m (eq,eq)      :     34.20     39.04 :    1.142
T301  BNZ l (no br)          :      1.87      2.14 :    1.144
D170  MVCL (10b)             :     21.42     24.72 :    1.154
T561  MXR R,R                :     25.58     29.70 :    1.161
D215  DR R,R                 :     12.72     14.77 :    1.161
D296  CDS R,R,m (eq,ne)      :     34.13     39.68 :    1.163
T264  CL R,m                 :      6.73      7.86 :    1.168
T161  MVN m,m (10c)          :     17.19     20.09 :    1.169
T165  MVZ m,m (10c)          :     17.24     20.18 :    1.171
D290  CS R,R,m (eq,eq)       :     34.35     40.23 :    1.171
T302  BNZ l (do br)          :      6.12      7.17 :    1.172
T100  LR R,R                 :      1.82      2.14 :    1.176
T305  BR R (far)             :      9.33     11.01 :    1.180
T156  MVC m,m (250c,over1)   :    297.41    351.98 :    1.183
D216  D R,m                  :     17.11     20.25 :    1.184
T253  TR m,m (100c)          :     59.46     70.60 :    1.187
T255  TRT m,m (10c,zero)     :     70.86     84.18 :    1.188
D173  MVCL (1kb)             :     81.35     97.12 :    1.194
T601  SPM R                  :      2.21      2.64 :    1.195
T258  TRT m,m (250c,10b)     :     78.12     93.40 :    1.196
T102  L R,m                  :      6.44      7.71 :    1.197
T545  MD R,m                 :     19.46     23.31 :    1.198
T114  STH R,m (unal3)        :      7.85      9.41 :    1.199
T152  MVC m,m (15c)          :     15.86     19.20 :    1.211
D179  MVCL (1kb,over2)       :     86.06    104.19 :    1.211
T236  XC m,m (100c)          :     83.84    101.54 :    1.211
T169  MVCIN m,m (100c)       :    550.61    667.48 :    1.212
T115  STC R,m                :      7.29      8.84 :    1.213
D171  MVCL (100b)            :     26.35     32.01 :    1.215
T113  STH R,m (unal1)        :      7.85      9.56 :    1.218
