s370_perf_sum  -rat  -k r2  -i 

File num: name ----------------------------------- #test w50-med  w50-max
      01: 2022-06-03_sys4.dat                        330   1.48%     4.7%
      02: 2020-04-15_sys3.dat                        330   0.13%     0.4%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T304  BR R                   :      5.00      4.33 :    0.866
T162  MVN m,m (30c)          :     33.19     29.88 :    0.900
D324  BASR R,R               :      7.08      6.43 :    0.908
T315  BXLE R,R,l             :      7.81      7.12 :    0.912
D322  BAL R,R                :      8.47      7.82 :    0.923
T401  CVD R,m                :     27.30     25.34 :    0.928
D325  BAS R,R                :      8.51      7.90 :    0.928
D320  BALR R,R               :      7.19      6.68 :    0.929
D611  EX R,i (bare, via XI)  :     16.12     15.09 :    0.936
T600  STCK m                 :     73.86     69.17 :    0.937
T205  SR R,R                 :      3.03      2.84 :    0.937
T301  BNZ l (no br)          :      1.99      1.87 :    0.940
T107  LCR R,R                :      2.75      2.62 :    0.953
T109  LPR R,R                :      2.74      2.62 :    0.956
T305  BR R (far)             :      9.55      9.33 :    0.977
T611  EX R,i (with XI)       :     21.52     21.60 :    1.004
D610  EX R,i (bare, via TM)  :     14.43     14.59 :    1.011
T220  SLA R,1                :      4.55      4.63 :    1.018
T155  MVC m,m (250c)         :     24.68     25.49 :    1.033
T157  MVC m,m (250c,over2)   :     24.50     25.50 :    1.041
T124  LM 2,7,m (6r)          :     10.71     11.24 :    1.049
T222  SRA R,1                :      3.30      3.47 :    1.052
T224  SRA R,30               :      3.29      3.47 :    1.055
T610  EX R,i (with TM)       :     19.36     20.44 :    1.056
T273  CLC m,m (30c,ne)       :     26.73     28.26 :    1.057
T275  CLC m,m (100c,ne)      :     26.72     28.26 :    1.058
T100  LR R,R                 :      1.72      1.82 :    1.058
T277  CLC m,m (250c,ne)      :     26.62     28.26 :    1.062
T271  CLC m,m (10c,ne)       :     26.53     28.26 :    1.065
T203  ALR R,R                :      2.06      2.20 :    1.068
T230  XR R,R                 :      2.19      2.35 :    1.073
T312  BCT R,l                :      6.32      6.81 :    1.078
T108  LNR R,R                :      2.20      2.38 :    1.082
T238  NR R,R                 :      2.18      2.36 :    1.083
T252  TR m,m (10c)           :     13.83     15.04 :    1.087
T239  OR R,R                 :      2.17      2.36 :    1.088
T508  STE R,m                :      5.72      6.23 :    1.089
T276  CLC m,m (250c,eq)      :    155.77    170.00 :    1.091
T244  SLL R,30               :      2.90      3.17 :    1.093
T270  CLC m,m (10c,eq)       :     30.23     33.08 :    1.094
T104  LH R,m                 :      5.54      6.07 :    1.096
T260  CR R,R                 :      2.08      2.28 :    1.096
T110  ST R,m                 :      4.56      5.00 :    1.096
T240  SLL R,1                :      2.88      3.16 :    1.097
T274  CLC m,m (100c,eq)      :     77.20     84.76 :    1.098
T208  SLR R,R                :      2.01      2.21 :    1.100
T272  CLC m,m (30c,eq)       :     40.67     44.76 :    1.101
T310  BCTR R,0               :      2.17      2.40 :    1.106
T515  ME R,m                 :     10.50     11.63 :    1.108
T200  AR R,R                 :      2.22      2.46 :    1.108
T236  XC m,m (100c)          :     75.13     83.84 :    1.116
T212  MH R,m                 :      5.96      6.66 :    1.117
T237  XC m,m (250c)          :    160.22    179.92 :    1.123
T509  STE R,m (unal)         :      5.93      6.66 :    1.123
T311  BCTR R,R               :      5.06      5.70 :    1.126
T125  LM 0,11,m (12r)        :     13.56     15.29 :    1.128
T210  MR R,R                 :      2.98      3.37 :    1.131
T601  SPM R                  :      1.95      2.21 :    1.133
T245  SLDL R,60              :      3.67      4.16 :    1.134
T106  LTR R,R                :      2.17      2.46 :    1.134
T103  L R,m (unal)           :      5.29      6.01 :    1.136
T156  MVC m,m (250c,over1)   :    261.72    297.41 :    1.136
T211  M R,m                  :      6.20      7.05 :    1.137
D176  MVCL (1kb,pad)         :     17.71     20.14 :    1.137
T190  IC R,m                 :      5.34      6.08 :    1.139
T231  X R,m                  :      5.64      6.44 :    1.142
T551  CD R,m                 :     11.11     12.69 :    1.142
T241  SLDL R,1               :      3.64      4.16 :    1.143
T243  SRDL R,1               :      3.64      4.16 :    1.143
T531  LD R,m                 :      6.04      6.95 :    1.151
D173  MVCL (1kb)             :     70.44     81.35 :    1.155
T201  A R,m                  :      5.84      6.75 :    1.156
T300  BCR 0,0 (noop)         :      1.96      2.27 :    1.158
T204  AL R,m                 :      6.17      7.15 :    1.159
D427  DP m,m (30d)           :    803.69    932.25 :    1.160
T166  MVZ m,m (30c)          :     25.86     30.04 :    1.162
T511  AE R,m                 :     12.31     14.35 :    1.166
T532  LD R,m (unal)          :      5.89      6.87 :    1.166
T261  C R,m                  :      5.34      6.23 :    1.167
T258  TRT m,m (250c,10b)     :     66.94     78.12 :    1.167
T265  CLI m,i                :      5.48      6.41 :    1.170
T154  MVC m,m (100c)         :     16.18     18.94 :    1.171
T302  BNZ l (do br)          :      5.22      6.12 :    1.172
T513  SE R,m                 :     12.51     14.67 :    1.173
D179  MVCL (1kb,over2)       :     73.01     86.06 :    1.179
T536  LPDR R,R               :      3.16      3.74 :    1.184
T225  SRDA R,60              :      3.89      4.61 :    1.185
T118  STCM R,i,m (0111)      :      6.03      7.15 :    1.186
T250  TM m,i                 :      4.93      5.85 :    1.187
T101  LA R,n                 :      2.13      2.53 :    1.188
T223  SRDA R,1               :      3.87      4.61 :    1.191
T541  AD R,m                 :     12.73     15.20 :    1.194
T242  SRL R,1                :      2.88      3.45 :    1.198
T123  LM 2,3,m (2r)          :      6.97      8.35 :    1.198
D174  MVCL (4kb)             :    223.99    268.56 :    1.199
T253  TR m,m (100c)          :     49.43     59.46 :    1.203
T232  XI m,i                 :      5.41      6.51 :    1.203
T543  SD R,m                 :     12.85     15.47 :    1.204
T122  STM 14,12,m (15r)      :     12.77     15.40 :    1.206
T400  CVB R,m                :     28.64     34.55 :    1.206
T207  SH R,m                 :      6.18      7.46 :    1.207
T111  ST R,m (unal)          :      4.85      5.86 :    1.208
T120  STM 2,3,m (2r)         :      6.59      7.98 :    1.211
T254  TR m,m (250c)          :    101.31    122.68 :    1.211
T561  MXR R,R                :     20.98     25.58 :    1.219
T235  XC m,m (10c)           :     15.02     18.32 :    1.220
T161  MVN m,m (10c)          :     14.07     17.19 :    1.222
T521  CE R,m                 :     10.00     12.23 :    1.223
T165  MVZ m,m (10c)          :     14.06     17.24 :    1.226
T504  LCER R,R               :      2.87      3.53 :    1.230
T507  LRER R,R               :      3.95      4.86 :    1.230
T446  SRP m,i,i (30d,>>)     :    143.40    176.63 :    1.232
D172  MVCL (250b)            :     27.05     33.44 :    1.236
T506  LPER R,R               :      2.95      3.65 :    1.237
T535  LNDR R,R               :      3.14      3.89 :    1.239
T263  CLR R,R                :      1.80      2.23 :    1.239
T523  HER R,R                :      4.17      5.17 :    1.240
T505  LNER R,R               :      2.73      3.40 :    1.245
T105  LH R,m (unal3)         :      5.58      6.95 :    1.246
T193  ICM R,i,m (0111)       :      9.57     11.92 :    1.246
T151  MVC m,m (10c)          :     13.18     16.43 :    1.247
T206  S R,m                  :      6.06      7.62 :    1.257
D171  MVCL (100b)            :     20.87     26.35 :    1.263
T514  MER R,R                :      6.45      8.15 :    1.264
T150  MVC m,m (5c)           :     11.29     14.28 :    1.265
T112  STH R,m                :      5.50      7.00 :    1.273
T537  LRDR R,R               :      4.28      5.45 :    1.273
T153  MVC m,m (30c)          :     12.84     16.41 :    1.278
T303  BNZ l (do br, far)     :      9.45     12.08 :    1.278
T221  SLDA R,1               :      4.69      6.00 :    1.279
T553  HDR R,R                :      4.42      5.68 :    1.285
T168  MVCIN m,m (30c)        :    129.74    167.38 :    1.290
T402  PACK m,m (5d)          :     23.06     29.76 :    1.291
T152  MVC m,m (15c)          :     12.28     15.86 :    1.292
T501  LE R,m                 :      5.40      6.99 :    1.294
D170  MVCL (10b)             :     16.54     21.42 :    1.295
T530  LDR R,R                :      2.74      3.55 :    1.296
T534  LCDR R,R               :      3.05      3.96 :    1.298
T533  LTDR R,R               :      2.97      3.86 :    1.300
T167  MVCIN m,m (10c)        :     45.84     59.66 :    1.301
T450  MVO m,m (10d)          :     30.94     40.32 :    1.303
T202  AH R,m                 :      6.04      7.89 :    1.306
T117  STCM R,i,m (1100)      :      8.19     10.71 :    1.308
T542  SDR R,R                :      8.68     11.36 :    1.309
T425  MP m,m (30d)           :    197.53    259.28 :    1.313
T262  CH R,m                 :      5.60      7.36 :    1.314
D426  DP m,m (10d)           :    315.49    414.79 :    1.315
T539  STD R,m (unal)         :      5.84      7.71 :    1.320
T560  AXR R,R                :     12.92     17.07 :    1.321
T522  AUR R,R                :      5.59      7.40 :    1.324
T121  STM 2,7,m (6r)         :      8.35     11.06 :    1.325
T540  ADR R,R                :      8.52     11.30 :    1.326
T552  AWR R,R                :      6.83      9.09 :    1.331
T431  CP m,m (30d)           :    122.51    163.21 :    1.332
T116  STCM R,i,m (0010)      :      7.47      9.96 :    1.333
T502  LE R,m (unal)          :      5.69      7.59 :    1.334
T430  CP m,m (10d)           :    121.62    162.64 :    1.337
T550  CDR R,R                :      6.72      8.99 :    1.338
T209  SL R,m                 :      6.33      8.47 :    1.338
T424  MP m,m (10d)           :    194.98    261.73 :    1.342
T403  PACK m,m (15d)         :     56.05     75.26 :    1.343
T500  LER R,R                :      2.62      3.53 :    1.347
T266  CLM R,i,m              :      7.19      9.74 :    1.355
T510  AER R,R                :      7.68     10.41 :    1.355
T451  MVO m,m (30d)          :     77.58    105.53 :    1.360
T538  STD R,m                :      6.00      8.17 :    1.362
T512  SER R,R                :      7.69     10.52 :    1.368
D177  MVCL (4kb,pad)         :     38.54     52.85 :    1.371
T160  MVI m,i                :      4.52      6.20 :    1.372
T169  MVCIN m,m (100c)       :    401.30    550.61 :    1.372
T545  MD R,m                 :     14.14     19.46 :    1.376
T544  MDR R,R                :      9.66     13.46 :    1.393
T191  ICM R,i,m (0010)       :     10.52     14.66 :    1.394
D175  MVCL (100b,pad)        :     11.76     16.47 :    1.401
T520  CER R,R                :      5.93      8.33 :    1.405
T503  LTER R,R               :      2.82      3.97 :    1.408
D281  CLCL (4kb,10b)         :     62.45     88.45 :    1.416
D295  CDS R,R,m (eq,eq)      :     24.00     34.20 :    1.425
T420  AP m,m (10d)           :    159.39    227.51 :    1.427
D296  CDS R,R,m (eq,ne)      :     23.88     34.13 :    1.429
D280  CLCL (100b,10b)        :     59.64     85.48 :    1.433
T115  STC R,m                :      5.07      7.29 :    1.438
T113  STH R,m (unal1)        :      5.42      7.85 :    1.448
T422  SP m,m (10d)           :    162.36    235.61 :    1.451
T114  STH R,m (unal3)        :      5.40      7.85 :    1.454
T255  TRT m,m (10c,zero)     :     48.63     70.86 :    1.457
T192  ICM R,i,m (1100)       :     10.83     15.84 :    1.463
T264  CL R,m                 :      4.58      6.73 :    1.469
D290  CS R,R,m (eq,eq)       :     23.30     34.35 :    1.474
D415  EDMK (10c)             :     79.10    117.52 :    1.486
D291  CS R,R,m (eq,ne)       :     23.11     34.35 :    1.486
D410  ED (10c)               :     75.94    113.04 :    1.489
D282  CLCL (4kb,100b)        :    521.96    777.87 :    1.490
D620  TS m (zero)            :     20.83     31.07 :    1.492
D283  CLCL (4kb,250b)        :   1281.62   1919.02 :    1.497
T102  L R,m                  :      4.29      6.44 :    1.501
T441  ZAP m,m (30d,30d)      :     70.46    106.45 :    1.511
T442  ZAP m,m (10d,30d)      :     70.44    106.44 :    1.511
T259  TRT m,m (250c,100b)    :    461.27    701.06 :    1.520
T257  TRT m,m (250c,zero)    :   1107.73   1706.34 :    1.540
T256  TRT m,m (100c,zero)    :    447.37    689.18 :    1.541
T440  ZAP m,m (10d,10d)      :     68.57    106.04 :    1.546
T404  UNPK m,m (5d)          :     26.05     40.31 :    1.547
T423  SP m,m (30d)           :    167.25    259.72 :    1.553
D411  ED (30c)               :    223.59    347.21 :    1.553
T443  ZAP m,m (30d,10d)      :     68.24    106.29 :    1.558
T421  AP m,m (30d)           :    137.26    214.76 :    1.565
T445  SRP m,i,i (30d,<<)     :     84.50    134.68 :    1.594
D178  MVCL (1kb,over1)       :      5.13      8.47 :    1.651
T517  DE R,m                 :     11.76     20.76 :    1.765
T405  UNPK m,m (15d)         :     59.58    105.29 :    1.767
T546  DDR R,R                :     83.84    150.64 :    1.797
D323  BAL R,R (far)          :      8.94     16.23 :    1.815
D321  BALR R,R (far)         :      8.53     15.67 :    1.837
T547  DD R,m                 :     83.67    156.59 :    1.872
D215  DR R,R                 :      6.68     12.72 :    1.904
D216  D R,m                  :      8.37     17.11 :    2.044
T516  DER R,R                :      7.88     18.77 :    2.382
D297  CDS R,R,m (ne)         :    166.16    575.12 :    3.461
D621  TS m (ones)            :    163.99    571.86 :    3.487
D292  CS R,R,m (ne)          :    163.79    573.48 :    3.501
